518625,"Dominguez, Matt","HOU","@ kan",1,"F,2-7","H",1,3,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
518626,"Donaldson, Josh","OAK","@ chw",1,"F,1-4","H",1,4,1,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"3B",,6/8/2013
425491,"Doumit, Ryan","MIN","@ was",1,"F,4-3","H",1,5,2,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"RF",,6/8/2013
572821,"Dozier, Brian","MIN","@ was",1,"F,4-3","H",1,3,1,,,,,1,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,"2B",,6/8/2013
452220,"Drew, Stephen","BOS","v laa",1,"F,5-9","H",1,4,1,1,,,,2,1,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
452220,"Drew, Stephen","BOS","v laa",2,"F,7-2","H",1,4,1,,,,,,,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
446263,"Duda, Lucas","NYM","v mia",1,"F,1-2","H",1,7,1,,,,,,2,,,4,,,,,,,,7,,,,,,,,,,,,,,,,,,"LF",,6/8/2013
276055,"Dunn, Adam","CHW","v oak",1,"F,4-1","H",1,3,2,,,1,1,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
407885,"Ellis, Mark","LAD","v atl",1,"F,1-2","H",,2,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"2B",,6/8/2013
453056,"Ellsbury, Jacoby","BOS","v laa",1,"F,5-9","H",1,4,1,,,,1,,1,,,1,2,,,,,,,5,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
429665,"Encarnacion, Edwin","TOR","v tex",1,"F,4-3","H",1,6,1,,,,1,,2,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"1B-3B",,6/8/2013
444876,"Escobar, Alcides","KAN","v hou",1,"F,7-2","H",1,5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
500871,"Escobar, Eduardo","MIN","@ was",1,"F,4-3","H",,2,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"PR-2B",,6/8/2013
488862,"Escobar, Yunel","TAM","v bal",1,"F,8-0","H",1,4,3,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
444843,"Ethier, Andre","LAD","v atl",1,"F,1-2","H",1,3,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
543148,"Federowicz, Tim","LAD","v atl",1,"F,1-2","H",1,4,1,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,"C",,6/8/2013
425902,"Fielder, Prince","DET","v cle",1,"F,6-4","H",1,5,2,1,,,,3,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"1B",,6/8/2013
475247,"Flaherty, Ryan","BAL","@ tam",1,"F,0-8","H",1,3,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"2B-SS",,6/8/2013
465753,"Florimon, Pedro","MIN","@ was",1,"F,4-3","H",1,4,,,,,,,1,1,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,"SS",,6/8/2013
452095,"Flowers, Tyler","CHW","v oak",1,"F,4-1","H",1,3,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"C",,6/8/2013
451594,"Fowler, Dexter","COL","v sdg",1,"F,2-4","H",1,5,2,,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,"CF",,6/8/2013
